user_id,signup_date,acquisition_channel,ab_test_group,age_groups,device
U00048,2025-01-28,Google Ads,Variant,35-44,Mobile
U00049,2025-03-04,Instagram,Variant,25-34,Mobile
U00050,2025-03-01,Google Ads,Control,35-44,Desktop
U00051,2025-03-04,TikTok,Control,45+,Mobile
U00052,2025-02-01,Instagram,Variant,45+,Tablet
U00053,2025-01-09,TikTok,Variant,18-24,Mobile
U00054,2025-02-01,Instagram,Control,35-44,Desktop
U00055,2025-03-27,Google Ads,Variant,18-24,Tablet
U00056,2025-02-05,Facebook,Control,45+,Mobile
U00057,2025-03-26,Organic,Control,25-34,Mobile
U00058,2025-03-11,Google Ads,Control,18-24,Mobile
U00059,2025-01-20,Facebook,Control,25-34,Mobile
U00060,2025-03-26,TikTok,Control,25-34,Mobile
U00061,2025-03-19,TikTok,Variant,25-34,Mobile
U00062,2025-01-31,Instagram,Variant,25-34,Mobile
U00063,2025-01-18,Organic,Variant,35-44,Desktop
U00064,2025-02-24,TikTok,Variant,45+,Mobile
U00065,2025-03-22,Facebook,Control,45+,Tablet
U00066,2025-01-17,Referral,Variant,45+,Mobile
U00067,2025-03-15,Facebook,Variant,25-34,Desktop
U00068,2025-03-12,TikTok,Control,25-34,Mobile
U00069,2025-01-07,Facebook,Variant,35-44,Mobile
U00070,2025-02-15,Facebook,Variant,45+,Mobile
U00071,2025-01-06,TikTok,Variant,35-44,Desktop
U00072,2025-03-06,Facebook,Variant,45+,Tablet
U00073,2025-01-10,Instagram,Variant,45+,Mobile
U00074,2025-03-27,Google Ads,Control,45+,Mobile
U00075,2025-02-09,Referral,Variant,35-44,Mobile
U00076,2025-03-25,Facebook,Variant,35-44,Mobile
U00077,2025-01-29,Google Ads,Variant,45+,Desktop
U00078,2025-03-23,Instagram,Variant,35-44,Mobile
U00079,2025-02-09,Instagram,Control,45+,Mobile
U00080,2025-01-19,Facebook,Control,25-34,Tablet
U00081,2025-02-16,Google Ads,Control,45+,Tablet
U00082,2025-02-21,Facebook,Control,35-44,Mobile
U00083,2025-02-21,Google Ads,Variant,35-44,Desktop
U00084,2025-02-13,Instagram,Variant,35-44,Mobile
U00085,2025-01-20,Facebook,Variant,25-34,Mobile
U00086,2025-02-19,Facebook,Variant,18-24,Desktop
U00087,2025-01-28,Google Ads,Control,35-44,Mobile
U00088,2025-01-03,Google Ads,Variant,35-44,Desktop
U00089,2025-03-18,Google Ads,Variant,25-34,Mobile
U00090,2025-02-12,TikTok,Control,45+,Mobile
U00091,2025-01-07,Organic,Variant,45+,Mobile
U00092,2025-02-19,TikTok,Variant,25-34,Mobile
U00093,2025-02-14,TikTok,Control,18-24,Mobile
U00094,2025-02-18,TikTok,Variant,45+,Mobile
U00095,2025-01-20,Facebook,Variant,25-34,Mobile
U00096,2025-01-17,Facebook,Variant,35-44,Tablet
U00097,2025-03-29,Organic,Variant,45+,Desktop
U00098,2025-01-15,Facebook,Variant,25-34,Mobile
U00099,2025-02-18,Facebook,Control,18-24,Tablet
U00100,2025-03-02,Facebook,Variant,25-34,Tablet
U00101,2025-02-24,Facebook,Control,35-44,Mobile
U00102,2025-01-23,Google Ads,Control,35-44,Mobile
U00103,2025-03-29,Referral,Variant,18-24,Mobile
U00104,2025-03-02,Facebook,Variant,18-24,Mobile
U00105,2025-03-26,Organic,Control,35-44,Tablet
U00106,2025-01-14,TikTok,Variant,18-24,Mobile
U00107,2025-03-27,Google Ads,Variant,18-24,Tablet
U00108,2025-01-12,Organic,Control,25-34,Mobile
U00109,2025-02-25,Google Ads,Control,18-24,Desktop
U00110,2025-01-19,Google Ads,Control,45+,Mobile
U00111,2025-01-07,Organic,Control,18-24,Mobile
U00112,2025-02-02,Referral,Variant,18-24,Tablet
U00113,2025-01-17,Facebook,Control,35-44,Mobile
U00114,2025-03-07,Instagram,Control,45+,Mobile
U00115,2025-01-27,Facebook,Variant,45+,Mobile
U00116,2025-01-16,Google Ads,Control,18-24,Desktop
U00117,2025-03-05,Facebook,Control,35-44,Desktop
U00118,2025-02-03,TikTok,Control,45+,Mobile
U00119,2025-03-31,Google Ads,Variant,18-24,Mobile
U00120,2025-02-18,TikTok,Control,18-24,Mobile
U00121,2025-01-29,Google Ads,Control,18-24,Mobile
U00122,2025-01-31,TikTok,Control,45+,Mobile
U00123,2025-02-14,Google Ads,Control,25-34,Mobile
U00124,2025-02-16,TikTok,Control,25-34,Mobile
U00125,2025-01-09,TikTok,Variant,35-44,Desktop
U00126,2025-02-20,Google Ads,Variant,45+,Mobile
U00127,2025-03-20,Google Ads,Control,35-44,Desktop
U00128,2025-02-01,Facebook,Control,25-34,Mobile
U00129,2025-01-23,Facebook,Control,18-24,Mobile
U00130,2025-03-18,Facebook,Variant,45+,Mobile
U00131,2025-03-12,Google Ads,Control,45+,Mobile
U00132,2025-02-19,Facebook,Variant,35-44,Mobile
U00133,2025-01-07,Instagram,Variant,35-44,Mobile
U00134,2025-01-02,TikTok,Control,35-44,Mobile
U00135,2025-03-29,Organic,Control,25-34,Mobile
U00136,2025-02-05,TikTok,Variant,25-34,Mobile
U00137,2025-02-04,TikTok,Control,18-24,Desktop
U00138,2025-03-22,Google Ads,Variant,35-44,Mobile
U00139,2025-03-01,Organic,Variant,45+,Mobile
U00140,2025-03-01,Facebook,Control,18-24,Mobile
U00141,2025-02-27,TikTok,Control,45+,Mobile
U00142,2025-03-04,Instagram,Control,45+,Tablet
U00143,2025-02-14,Instagram,Variant,35-44,Mobile
U00144,2025-03-07,Facebook,Control,25-34,Mobile
U00145,2025-02-14,TikTok,Variant,45+,Mobile
U00146,2025-03-09,Instagram,Control,35-44,Mobile
U00147,2025-01-25,Instagram,Variant,45+,Mobile
U00148,2025-02-13,Google Ads,Control,18-24,Mobile
U00149,2025-02-03,Facebook,Variant,25-34,Mobile
U00150,2025-03-05,Google Ads,Control,35-44,Mobile
U00151,2025-02-22,TikTok,Variant,45+,Desktop
U00152,2025-03-18,Organic,Variant,45+,Mobile
U00153,2025-03-03,Organic,Variant,35-44,Mobile
U00154,2025-02-14,Facebook,Control,25-34,Mobile
U00155,2025-01-16,Facebook,Variant,35-44,Tablet
U00156,2025-03-21,Instagram,Variant,35-44,Mobile
U00157,2025-02-01,Instagram,Variant,35-44,Mobile
U00158,2025-03-24,TikTok,Variant,18-24,Mobile
U00159,2025-03-17,Instagram,Control,45+,Tablet
U00160,2025-01-10,Facebook,Variant,25-34,Tablet
U00161,2025-03-01,Facebook,Control,18-24,Mobile
U00162,2025-03-15,Organic,Control,25-34,Tablet
U00163,2025-03-20,Facebook,Variant,35-44,Desktop
U00164,2025-01-13,TikTok,Control,18-24,Mobile
U00165,2025-02-15,TikTok,Variant,45+,Mobile
U00166,2025-03-23,TikTok,Variant,35-44,Mobile
U00167,2025-03-04,Facebook,Variant,25-34,Mobile
U00168,2025-01-24,Organic,Variant,45+,Desktop
U00169,2025-02-11,Google Ads,Control,25-34,Desktop
U00170,2025-03-08,Google Ads,Variant,45+,Mobile
U00171,2025-02-05,Organic,Variant,45+,Mobile
U00172,2025-03-06,Facebook,Control,35-44,Mobile
U00173,2025-02-19,Organic,Control,45+,Mobile
U00174,2025-03-28,Google Ads,Variant,35-44,Mobile
U00175,2025-02-17,Facebook,Control,25-34,Mobile
U00176,2025-02-06,Google Ads,Variant,35-44,Mobile
U00177,2025-02-23,Instagram,Control,45+,Mobile
U00178,2025-01-15,Facebook,Variant,25-34,Mobile
U00179,2025-03-13,TikTok,Control,35-44,Mobile
U00180,2025-02-20,TikTok,Control,18-24,Mobile
U00181,2025-03-18,Google Ads,Control,25-34,Mobile
U00182,2025-01-21,Instagram,Control,45+,Mobile
U00183,2025-01-25,Referral,Control,45+,Mobile
U00184,2025-01-30,Google Ads,Variant,18-24,Mobile
U00185,2025-03-29,TikTok,Control,45+,Mobile
U00186,2025-01-29,Organic,Control,45+,Desktop
U00187,2025-01-17,Google Ads,Control,25-34,Desktop
U00188,2025-01-08,Facebook,Control,35-44,Tablet
U00189,2025-01-16,Google Ads,Control,45+,Mobile
U00190,2025-01-23,Facebook,Variant,18-24,Mobile
U00191,2025-01-14,Facebook,Control,18-24,Mobile
U00192,2025-02-25,Instagram,Variant,18-24,Mobile
U00193,2025-02-16,TikTok,Variant,35-44,Mobile
U00194,2025-02-22,Instagram,Control,25-34,Mobile
U00195,2025-03-06,Facebook,Variant,35-44,Mobile
U00196,2025-03-25,Facebook,Control,25-34,Tablet
U00197,2025-01-07,TikTok,Variant,35-44,Tablet
U00198,2025-02-23,TikTok,Variant,18-24,Mobile
U00199,2025-03-13,Google Ads,Variant,18-24,Mobile
U00200,2025-02-12,Google Ads,Variant,25-34,Tablet
U00201,2025-02-27,TikTok,Control,45+,Desktop
U00202,2025-02-09,Organic,Variant,25-34,Mobile
U00203,2025-03-01,Facebook,Control,25-34,Desktop
U00204,2025-01-03,Referral,Control,18-24,Desktop
U00205,2025-01-30,Referral,Variant,18-24,Mobile
U00206,2025-02-02,TikTok,Variant,25-34,Mobile
U00207,2025-03-21,Instagram,Control,25-34,Desktop
U00208,2025-01-17,Facebook,Variant,18-24,Tablet
U00209,2025-02-24,Instagram,Control,35-44,Mobile
U00210,2025-02-15,TikTok,Control,25-34,Mobile
U00211,2025-02-28,Facebook,Control,18-24,Mobile
U00212,2025-02-23,Instagram,Control,45+,Mobile
U00213,2025-03-07,Organic,Control,35-44,Mobile
U00214,2025-02-01,Facebook,Control,25-34,Desktop
U00215,2025-03-29,TikTok,Variant,25-34,Desktop
U00216,2025-03-20,Organic,Control,25-34,Mobile
U00217,2025-02-05,Organic,Control,45+,Mobile
U00218,2025-02-04,Organic,Control,25-34,Tablet
U00219,2025-01-02,Instagram,Variant,45+,Mobile
U00220,2025-03-28,Google Ads,Variant,18-24,Mobile
U00221,2025-02-07,Google Ads,Variant,25-34,Mobile
U00222,2025-02-10,Instagram,Control,25-34,Mobile
U00223,2025-03-17,Google Ads,Control,45+,Desktop
U00224,2025-03-27,Facebook,Variant,18-24,Desktop
U00225,2025-02-03,Facebook,Control,25-34,Mobile
U00226,2025-02-20,Referral,Variant,45+,Mobile
U00227,2025-02-18,Facebook,Variant,18-24,Mobile
U00228,2025-02-01,Organic,Variant,25-34,Mobile
U00229,2025-01-20,TikTok,Control,45+,Mobile
U00230,2025-02-07,Google Ads,Variant,18-24,Mobile
U00231,2025-02-21,Facebook,Control,25-34,Tablet
U00232,2025-03-10,Google Ads,Control,18-24,Mobile
U00233,2025-03-23,Instagram,Variant,18-24,Mobile
U00234,2025-01-03,Organic,Control,35-44,Desktop
U00235,2025-03-09,Organic,Control,18-24,Mobile
U00236,2025-01-17,Google Ads,Control,25-34,Mobile
U00237,2025-03-09,Organic,Variant,18-24,Mobile
U00238,2025-02-04,Referral,Variant,18-24,Tablet
U00239,2025-02-07,Instagram,Variant,18-24,Mobile
U00240,2025-01-17,Instagram,Variant,18-24,Mobile
U00241,2025-03-09,TikTok,Variant,18-24,Mobile
U00242,2025-02-12,Facebook,Control,45+,Mobile
U00243,2025-02-07,Facebook,Control,45+,Mobile
U00244,2025-01-31,TikTok,Control,25-34,Mobile
U00245,2025-03-30,Organic,Variant,35-44,Mobile
U00246,2025-02-01,TikTok,Control,18-24,Mobile
U00247,2025-03-17,TikTok,Control,25-34,Mobile
U00248,2025-02-28,Facebook,Control,25-34,Tablet
U00249,2025-03-18,TikTok,Control,35-44,Mobile
U00250,2025-01-09,Facebook,Control,45+,Tablet
U00251,2025-02-13,Google Ads,Control,45+,Mobile
U00252,2025-03-06,Instagram,Variant,18-24,Mobile
U00253,2025-01-08,Google Ads,Control,25-34,Mobile
U00254,2025-03-07,Instagram,Variant,25-34,Mobile
U00255,2025-02-21,Facebook,Control,45+,Mobile
U00256,2025-03-24,Google Ads,Control,18-24,Desktop
U00257,2025-02-13,TikTok,Variant,35-44,Mobile
U00258,2025-02-15,Facebook,Control,45+,Desktop
U00259,2025-02-09,Google Ads,Variant,18-24,Desktop
U00260,2025-01-13,Facebook,Control,35-44,Mobile
U00261,2025-02-21,Google Ads,Variant,35-44,Mobile
U00262,2025-03-17,Instagram,Variant,25-34,Mobile
U00263,2025-03-19,Instagram,Variant,45+,Mobile
U00264,2025-01-22,TikTok,Control,35-44,Mobile
U00265,2025-02-27,Google Ads,Variant,25-34,Mobile
U00266,2025-01-21,TikTok,Variant,18-24,Tablet
U00267,2025-01-28,Facebook,Variant,35-44,Mobile
U00268,2025-01-04,Instagram,Control,25-34,Mobile
U00269,2025-01-03,Facebook,Variant,35-44,Mobile
U00270,2025-03-30,Facebook,Control,25-34,Desktop
U00271,2025-03-20,Instagram,Control,35-44,Mobile
U00272,2025-03-16,Facebook,Variant,18-24,Mobile
U00273,2025-03-18,Google Ads,Variant,25-34,Mobile
U00274,2025-03-01,Instagram,Control,35-44,Tablet
U00275,2025-03-03,Facebook,Control,45+,Mobile
U00276,2025-02-28,Facebook,Control,18-24,Mobile
U00277,2025-02-05,Facebook,Variant,25-34,Mobile
U00278,2025-02-13,Facebook,Control,35-44,Mobile
U00279,2025-03-24,Facebook,Control,45+,Tablet
U00280,2025-01-26,Instagram,Variant,25-34,Mobile
U00281,2025-02-08,Organic,Control,18-24,Mobile
U00282,2025-03-04,Facebook,Control,25-34,Mobile
U00283,2025-03-08,Facebook,Control,45+,Mobile
U00284,2025-03-17,TikTok,Control,18-24,Mobile
U00285,2025-01-01,TikTok,Variant,45+,Desktop
U00286,2025-01-29,Facebook,Control,45+,Mobile
U00287,2025-01-15,Google Ads,Variant,25-34,Mobile
U00288,2025-03-28,Instagram,Control,35-44,Desktop
U00289,2025-01-08,Facebook,Control,18-24,Desktop
U00290,2025-01-01,TikTok,Variant,25-34,Mobile
U00291,2025-03-24,Referral,Control,45+,Mobile
U00292,2025-02-04,Google Ads,Control,25-34,Desktop
U00293,2025-03-12,Instagram,Control,25-34,Mobile
U00294,2025-01-05,Organic,Variant,25-34,Desktop
U00295,2025-03-31,Referral,Variant,25-34,Mobile
U00296,2025-01-17,TikTok,Variant,35-44,Desktop
U00297,2025-03-25,Facebook,Control,35-44,Mobile
U00298,2025-01-08,Facebook,Variant,35-44,Mobile
U00299,2025-03-28,Facebook,Variant,25-34,Mobile
U00300,2025-03-27,TikTok,Variant,35-44,Mobile
U00301,2025-03-03,TikTok,Variant,25-34,Mobile
U00302,2025-02-13,Organic,Variant,45+,Tablet
U00303,2025-03-15,Referral,Variant,25-34,Mobile
U00304,2025-01-05,Google Ads,Variant,25-34,Mobile
U00305,2025-01-14,TikTok,Control,35-44,Desktop
U00306,2025-02-19,TikTok,Control,35-44,Mobile
U00307,2025-03-17,Facebook,Control,18-24,Mobile
U00308,2025-02-14,Google Ads,Variant,45+,Mobile
U00309,2025-01-06,Instagram,Control,45+,Mobile
U00310,2025-02-01,TikTok,Variant,18-24,Mobile
U00311,2025-03-04,Instagram,Variant,25-34,Mobile
U00312,2025-02-14,Google Ads,Control,45+,Desktop
U00313,2025-01-12,Google Ads,Control,35-44,Mobile
U00314,2025-03-04,Instagram,Variant,18-24,Mobile
U00315,2025-01-24,Facebook,Control,45+,Mobile
U00316,2025-03-07,Facebook,Variant,35-44,Mobile
U00317,2025-03-23,Organic,Variant,35-44,Desktop
U00318,2025-03-27,Referral,Variant,25-34,Mobile
U00319,2025-02-14,Facebook,Control,18-24,Mobile
U00320,2025-01-26,Google Ads,Control,35-44,Mobile
U00321,2025-02-14,Organic,Variant,45+,Mobile
U00322,2025-01-10,Instagram,Control,35-44,Mobile
U00323,2025-03-02,Google Ads,Variant,25-34,Mobile
U00324,2025-03-06,Instagram,Control,25-34,Mobile
U00325,2025-02-22,Instagram,Variant,25-34,Mobile
U00326,2025-02-12,Facebook,Control,25-34,Desktop
U00327,2025-01-19,Facebook,Variant,45+,Desktop
U00328,2025-03-25,Google Ads,Control,45+,Mobile
U00329,2025-02-20,Google Ads,Variant,25-34,Desktop
U00330,2025-02-07,Facebook,Control,18-24,Mobile
U00331,2025-02-17,Google Ads,Control,18-24,Mobile
U00332,2025-01-28,Facebook,Variant,45+,Mobile
U00333,2025-01-19,Google Ads,Control,45+,Mobile
U00334,2025-01-26,Instagram,Variant,35-44,Mobile
U00335,2025-03-29,Facebook,Control,45+,Mobile
U00336,2025-03-31,Google Ads,Variant,45+,Desktop
U00337,2025-02-01,Google Ads,Control,18-24,Mobile
U00338,2025-03-09,Google Ads,Variant,18-24,Mobile
U00339,2025-01-07,Instagram,Control,18-24,Desktop
U00340,2025-01-06,TikTok,Variant,25-34,Mobile
U00341,2025-01-07,Facebook,Control,25-34,Mobile
U00342,2025-03-16,Facebook,Variant,35-44,Mobile
U00343,2025-02-20,TikTok,Variant,35-44,Mobile
U00344,2025-03-08,Google Ads,Control,25-34,Mobile
U00345,2025-01-28,Organic,Variant,25-34,Desktop
U00346,2025-01-22,Instagram,Variant,18-24,Mobile
U00347,2025-02-16,Facebook,Variant,25-34,Mobile
U00348,2025-03-30,Referral,Variant,45+,Mobile
U00349,2025-02-03,Facebook,Control,18-24,Mobile
U00350,2025-01-24,Google Ads,Variant,18-24,Desktop
U00351,2025-01-08,Facebook,Variant,45+,Tablet
U00352,2025-02-01,Facebook,Control,18-24,Mobile
U00353,2025-03-08,Facebook,Variant,18-24,Tablet
U00354,2025-02-26,Referral,Variant,25-34,Mobile
U00355,2025-02-18,Facebook,Control,25-34,Mobile
U00356,2025-01-29,Facebook,Control,25-34,Tablet
U00357,2025-03-23,Organic,Variant,35-44,Mobile
U00358,2025-03-04,Facebook,Variant,45+,Mobile
U00359,2025-03-17,Google Ads,Variant,45+,Desktop
U00360,2025-03-24,Facebook,Control,45+,Tablet
U00361,2025-01-02,Facebook,Control,18-24,Desktop
U00362,2025-03-17,Instagram,Variant,45+,Desktop
U00363,2025-01-27,Organic,Variant,45+,Mobile
U00364,2025-03-09,Facebook,Control,25-34,Mobile
U00365,2025-02-17,TikTok,Variant,45+,Mobile
U00366,2025-03-30,Facebook,Control,18-24,Mobile
U00367,2025-02-21,TikTok,Control,35-44,Desktop
U00368,2025-03-28,TikTok,Control,18-24,Tablet
U00369,2025-03-23,Instagram,Control,18-24,Desktop
U00370,2025-02-20,Facebook,Variant,35-44,Mobile
U00371,2025-01-07,Google Ads,Variant,18-24,Mobile
U00372,2025-03-10,Instagram,Variant,45+,Mobile
U00373,2025-03-01,Organic,Control,45+,Mobile
U00374,2025-03-30,TikTok,Control,25-34,Mobile
U00375,2025-03-13,TikTok,Control,35-44,Tablet
U00376,2025-02-17,TikTok,Control,35-44,Mobile
U00377,2025-02-04,Instagram,Control,35-44,Mobile
U00378,2025-03-16,Instagram,Variant,35-44,Mobile
U00379,2025-03-10,Referral,Variant,45+,Mobile
U00380,2025-03-30,Referral,Variant,18-24,Mobile
U00381,2025-02-05,TikTok,Control,35-44,Mobile
U00382,2025-01-25,Facebook,Control,35-44,Tablet
U00383,2025-01-12,Google Ads,Variant,35-44,Desktop
U00384,2025-01-13,Facebook,Control,35-44,Mobile
U00385,2025-02-04,TikTok,Control,18-24,Tablet
U00386,2025-02-12,Google Ads,Control,25-34,Mobile
U00387,2025-02-11,Facebook,Variant,25-34,Mobile
U00388,2025-01-11,Google Ads,Variant,45+,Mobile
U00389,2025-01-04,Facebook,Control,25-34,Desktop
U00390,2025-01-28,TikTok,Variant,45+,Tablet
U00391,2025-01-15,Facebook,Control,25-34,Desktop
U00392,2025-01-06,TikTok,Control,35-44,Mobile
U00393,2025-02-03,Instagram,Variant,25-34,Mobile
U00394,2025-03-25,Instagram,Variant,45+,Mobile
U00395,2025-03-10,Google Ads,Variant,18-24,Mobile
U00396,2025-03-26,Facebook,Variant,45+,Mobile
U00397,2025-02-08,TikTok,Control,25-34,Mobile
U00398,2025-01-03,Facebook,Control,18-24,Mobile
U00399,2025-02-19,TikTok,Variant,45+,Desktop
U00400,2025-02-04,Facebook,Control,45+,Mobile
U00401,2025-01-05,Facebook,Variant,25-34,Mobile
U00402,2025-03-01,Facebook,Control,45+,Tablet
U00403,2025-01-28,Instagram,Control,25-34,Mobile
U00404,2025-01-17,Google Ads,Control,45+,Mobile
U00405,2025-01-29,Instagram,Variant,35-44,Mobile
U00406,2025-02-11,TikTok,Control,45+,Desktop
U00407,2025-03-31,Instagram,Control,45+,Mobile
U00408,2025-01-30,Facebook,Variant,25-34,Mobile
U00409,2025-02-22,Google Ads,Variant,18-24,Mobile
U00410,2025-01-10,Google Ads,Variant,18-24,Tablet
U00411,2025-03-31,TikTok,Control,45+,Mobile
U00412,2025-02-27,Facebook,Control,35-44,Mobile
U00413,2025-01-25,TikTok,Control,18-24,Desktop
U00414,2025-02-10,Organic,Control,35-44,Desktop
U00415,2025-02-24,Instagram,Control,35-44,Mobile
U00416,2025-02-03,Instagram,Variant,45+,Mobile
U00417,2025-01-23,Google Ads,Control,18-24,Mobile
U00418,2025-01-15,Referral,Variant,45+,Mobile
U00419,2025-02-19,Instagram,Variant,25-34,Mobile
U00420,2025-02-05,Facebook,Control,35-44,Desktop
U00421,2025-03-12,Facebook,Control,25-34,Mobile
U00422,2025-01-11,TikTok,Variant,25-34,Mobile
U00423,2025-02-05,Organic,Control,18-24,Mobile
U00424,2025-01-08,Organic,Variant,35-44,Mobile
U00425,2025-01-01,Facebook,Variant,18-24,Desktop
U00426,2025-02-07,Instagram,Variant,35-44,Mobile
U00427,2025-03-31,Facebook,Control,35-44,Tablet
U00428,2025-03-23,Facebook,Control,25-34,Tablet
U00429,2025-02-06,Google Ads,Control,18-24,Desktop
U00430,2025-01-25,Facebook,Variant,35-44,Tablet
U00431,2025-02-08,Instagram,Control,25-34,Tablet
U00432,2025-02-08,Facebook,Control,35-44,Tablet
U00433,2025-01-31,Facebook,Control,25-34,Mobile
U00434,2025-01-26,TikTok,Variant,25-34,Mobile
U00435,2025-02-13,Facebook,Control,25-34,Mobile
U00436,2025-03-03,Organic,Control,45+,Mobile
U00437,2025-01-30,Instagram,Control,25-34,Mobile
U00438,2025-01-29,Organic,Variant,45+,Desktop
U00439,2025-03-05,Facebook,Control,25-34,Desktop
U00440,2025-03-06,Google Ads,Control,18-24,Desktop
U00441,2025-02-04,Organic,Variant,18-24,Mobile
U00442,2025-02-08,Google Ads,Control,25-34,Mobile
U00443,2025-01-11,Facebook,Control,35-44,Desktop
U00444,2025-01-03,Google Ads,Control,18-24,Mobile
U00445,2025-03-11,Instagram,Control,25-34,Mobile
U00446,2025-02-23,Instagram,Control,18-24,Desktop
U00447,2025-02-18,TikTok,Control,35-44,Mobile
U00448,2025-02-02,TikTok,Variant,18-24,Mobile
U00449,2025-03-23,Organic,Variant,18-24,Mobile
U00450,2025-01-17,TikTok,Control,25-34,Tablet
U00451,2025-03-31,Facebook,Variant,45+,Desktop
U00452,2025-01-28,TikTok,Control,35-44,Mobile
U00453,2025-03-29,Facebook,Control,45+,Desktop
U00454,2025-01-16,Facebook,Control,35-44,Tablet
U00455,2025-02-26,Facebook,Variant,45+,Desktop
U00456,2025-03-05,TikTok,Control,35-44,Tablet
U00457,2025-01-06,Organic,Variant,25-34,Mobile
U00458,2025-03-27,Google Ads,Variant,35-44,Mobile
U00459,2025-02-14,Google Ads,Control,45+,Mobile
U00460,2025-03-30,Google Ads,Variant,18-24,Mobile
U00461,2025-01-31,Google Ads,Variant,25-34,Mobile
U00462,2025-02-25,Facebook,Variant,45+,Mobile
U00463,2025-01-21,TikTok,Control,45+,Mobile
U00464,2025-01-30,Referral,Control,25-34,Mobile
U00465,2025-02-12,Instagram,Variant,18-24,Mobile
U00466,2025-02-27,TikTok,Variant,18-24,Mobile
U00467,2025-01-06,Facebook,Control,18-24,Desktop
U00468,2025-02-15,Instagram,Control,35-44,Mobile
U00469,2025-01-08,TikTok,Variant,25-34,Mobile
U00470,2025-03-11,Instagram,Control,18-24,Mobile
U00471,2025-01-28,Instagram,Control,45+,Desktop
U00472,2025-02-18,Instagram,Variant,25-34,Mobile
U00473,2025-03-23,Google Ads,Variant,25-34,Tablet
U00474,2025-01-06,TikTok,Variant,35-44,Tablet
U00475,2025-01-01,Instagram,Variant,35-44,Mobile
U00476,2025-02-27,Facebook,Variant,35-44,Mobile
U00477,2025-01-22,Referral,Control,25-34,Desktop
U00478,2025-03-24,Facebook,Control,18-24,Tablet
U00479,2025-01-27,Instagram,Control,35-44,Tablet
U00480,2025-01-23,Facebook,Variant,45+,Mobile
U00481,2025-03-12,Google Ads,Control,35-44,Mobile
U00482,2025-01-30,Facebook,Control,35-44,Desktop
U00483,2025-03-21,Instagram,Control,18-24,Mobile
U00484,2025-01-16,Google Ads,Variant,35-44,Mobile
U00485,2025-01-21,Facebook,Control,25-34,Mobile
U00486,2025-02-28,Organic,Variant,18-24,Mobile
U00487,2025-01-20,TikTok,Variant,18-24,Mobile
U00488,2025-03-30,Organic,Control,18-24,Tablet
U00489,2025-02-06,TikTok,Control,18-24,Desktop
U00490,2025-01-16,Facebook,Variant,18-24,Mobile
U00491,2025-02-01,Facebook,Variant,18-24,Desktop
U00492,2025-02-21,Google Ads,Variant,25-34,Mobile
